id,x,y,z,building,floor,type,svg_x,svg_y
1,0,0,0,10,1,2,493,1630.122
2,6,0,0,10,1,1,493,1530
3,6,19.4,0,10,1,1,870,1530
4,30.9,19.4,0,10,1,1,870,1060
5,30.9,-4,0,10,1,1,302.497,1060
6,54.9,19.4,0,10,1,1,870,590
7,54.9,-14,0,10,1,1,228,590
8,63.099999999999994,-14,0,10,1,1,228,424.336
9,61.3,19.4,0,10,1,1,870,500
10,70.2,19.4,0,10,1,1,870,315
11,70.2,23.9,0,10,1,1,930,315
12,61.3,29.5,0,10,1,1,1069.243,500
13,61.3,34.599999999999994,0,10,1,1,1138.565,500
14,64.39999999999999,34.599999999999994,0,10,1,1,1144.867,413.833
15,61.3,60.99999999999999,0,10,1,1,1636.424,500
16,61.3,82,0,10,1,1,2031.351,500
17,61.3,92.4,0,10,1,1,2256.123,500
18,65.89999999999999,92.4,0,10,1,1,2260.324,373.92
19,65.9,96.7,0,10,1,1,2321.244,371.819
20,56.29999999999999,92.4,0,10,1,1,2251.922,628.101
21,56.3,105.4,0,10,1,2,2449.385,632.303
22,6,14.299999999999999,0,10,1,1,760,1530
23,12.7,14.3,0,10,1,1,760,1432.554
24,30.9,13.299999999999999,0,10,1,1,760,1060
25,39.2,13.3,0,10,1,1,760,934.905
26,28.1,14.3,5,10,2,1,758.553,1180
27,28.1,9.399999999999999,5,10,2,1,670,1180
28,11.3,9.399999999999999,5,10,2,1,670,1500.196
29,30.9,9.399999999999999,5,10,2,1,670,1108.84
30,30.9,-4,5,10,2,1,415.513,1120.919
31,54.5,9.399999999999999,5,10,2,1,670,666
32,54.5,-14,5,10,2,1,230,666
33,63,-14,5,10,2,1,230,500.065
34,67.3,29.5,0,10,1,1,,
35,54.5,13.6,5,10,2,1,729.564,666
36,54.5,18.7,5,10,2,1,830,666
37,59.7,18.7,5,10,2,1,830,560
38,59.7,29.5,5,10,2,1,1043.614,560
39,70.2,23.9,5,10,2,1,930,355
40,67.3,29.5,5,10,2,1,1041.199,417.929
41,59.7,36.9,5,10,2,1,1176.482,560
42,59.7,61,5,10,2,1,1645.142,560
43,59.7,92.4,5,10,2,1,2220,560
44,65.89999999999999,92.4,5,10,2,1,2220,450
45,65.89999999999999,96.7,5,10,2,1,2294.985,450
46,59.7,23.9,5,10,2,1,930,560
47,70.2,23.9,10,10,3,1,940,400
48,59.3,23.9,10,10,3,1,940,603
49,59.3,20.1,10,10,3,1,875,603
50,59.3,17.8,10,10,3,1,825,603
51,43.9,17.8,10,10,3,1,825,900
52,43.9,14.3,10,10,3,1,765.8,900
53,43.9,20.1,10,10,3,1,875,900
54,59.3,-13.2,10,10,3,1,215,603
55,65.3,-13.2,10,10,3,1,215,538.718
56,59.3,29.5,10,10,3,1,1048.446,603
57,67.3,29.5,10,10,3,1,1055.693,485.571
58,59.3,36.9,10,10,3,1,1200.64,603
59,59.3,60.9,10,10,3,1,1635.479,603
60,59.3,92.4,10,10,3,1,2275,603
61,65.9,92.4,10,10,3,1,2275,480
62,65.9,96.7,10,10,3,1,2338.469,480
63,70.2,23.9,15,10,4,1,930,450
64,63.2,23.9,15,10,4,1,930,610
65,63.2,20.599999999999998,15,10,4,1,879.342,610
66,63.2,19.499999999999996,15,10,4,1,840.689,610
67,63.2,14.699999999999996,15,10,4,1,770.632,610
68,63.2,-13.200000000000003,15,10,4,1,236.746,610
69,65.9,-13.200000000000003,15,10,4,1,234.33,548.381
70,54.800000000000004,23.9,15,10,4,1,930,785
71,54.8,29.5,15,10,4,1,1048.446,785
72,67.39999999999999,29.5,15,10,4,1,1055.693,543.549
73,54.8,87,15,10,4,1,2125,785
74,59.8,87,15,10,4,1,2125,685
75,59.8,92.9,15,10,4,1,2237.007,685
76,66.6,92.9,15,10,4,1,2239.423,616.022
77,70.2,23.9,20,10,5,1,940,935
78,65.8,23.9,20,10,5,1,940,1025
79,65.8,16.2,20,10,5,1,795,1025
80,65.8,-13.600000000000001,20,10,5,1,210,1025
81,65.8,-16.3,20,10,5,1,157.025,1025
82,62.9,-13.6,20,10,5,1,210,1080
83,65.8,29.799999999999997,20,10,5,1,1055.693,1025
84,65.8,37,20,10,5,1,1195.808,1025
85,65.8,67.3,20,10,5,1,1763.515,1025
86,65.8,93.19999999999999,20,10,5,1,2275,1025
87,65.8,97.69999999999999,20,10,5,1,2348.132,1025
88,63,93.19999999999999,20,10,5,1,2275,1079.851
89,84.8,14.2,20,10,5,1,756,645.012
90,95.6,14.2,20,10,5,1,756,460
91,95.6,16.2,20,10,5,1,795,460
92,95.6,19.2,20,10,5,1,852.768,460
93,102.3,16.2,20,10,5,2,795,222.251
94,70.2,23.9,25,10,6,1,925.344,815.681
95,65.8,23.9,25,10,6,1,926.388,906.544
96,65.8,29.799999999999997,25,10,6,1,1046.495,907.589
97,65.8,37,25,10,6,1,1194.8,908.633
98,65.8,93.19999999999999,25,10,6,1,2302.915,906.544
99,65.8,97.69999999999999,25,10,6,1,2371.846,904.455
100,63,93.19999999999999,25,10,6,1,2305.004,963.987
101,65.8,-13.600000000000001,25,10,6,1,186.949,914.899
102,65.8,-16.3,25,10,6,1,112.796,908.633
103,62.9,-13.6,25,10,6,1,180.682,970.253
