id,name,from,to,building,floor,weight,length,type
1,,1,75,1,1,1,12,1
2,,75,2,1,1,1,9.5,1
3,F_Toilet;M_Toilet,2,3,1,1,1,6.6,1
4,,3,4,1,1,1,2.6999999999999993,1
5,,4,5,1,1,1,3,1
6,,5,74,1,1,1,4,1
7,118;117;Lab1;Lab2,2,79,1,1,1,22.3,1
8,,6,7,1,1,1,7,1
9,F_Toilet;M_Toilet,7,8,1,1,1,4.300000000000001,1
10,114,8,9,1,1,1,19.1,1
11,,9,10,1,1,1,5.0000000000000036,1
12,,9,76,1,1,1,5.300000000000001,1
13,,76,30,1,1,1,7.900000000000002,1
14,CS1,30,31,1,1,1,11.600000000000001,1
15,F_Toilet;M_Toilet,31,32,1,1,1,2.9000000000000004,1
16,,32,33,1,1,1,6.599999999999994,1
17,CS2,31,34,1,1,1,11.3,1
18,,34,35,1,1,1,4.400000000000006,1
19,Lab3,35,36,1,1,1,10.2,1
20,,36,37,1,1,1,9.100000000000001,1
21,,37,38,1,1,1,4.099999999999994,1
22,,37,87,1,1,1,4.399999999999999,1
23,,39,40,1,1,1,3.0999999999999943,1
24,,4,77,1,1,1,5,1
25,,74,78,1,1,1,29.9,1
26,,79,6,1,1,1,4.099999999999998,1
27,,10,80,1,1,1,2.5,1
28,,87,39,1,1,1,2.3999999999999986,1
29,,11,12,1,0,1,7.399999999999999,1
30,F_Toilet;M_Toilet,12,13,1,0,1,12.7,1
31,,13,14,1,0,1,2.8000000000000007,1
32,,14,15,1,0,1,17.1,1
33,,11,77,1,0,1,3.88,1
34,,15,7,1,0,1,11.282925152636617,1
35,,41,42,1,0,1,6.299999999999997,1
36,,42,43,1,0,1,3.2,1
37,,43,44,1,0,1,13.8,1
38,,44,45,1,0,1,4.300000000000004,1
39,,45,46,1,0,1,13.600000000000001,1
40,,46,91,1,0,1,7.799999999999997,1
41,F_Toilet;M_Toilet,91,47,1,0,1,2.6000000000000014,1
42,,47,48,1,0,1,3.0999999999999943,1
43,,41,33,1,0,1,4.011433658930433,1
44,,48,40,1,0,1,3.9650472884948043,1
45,,91,87,1,0,1,3.96,4
46,,16,17,1,2,1,7.4,1
47,123,17,82,1,2,1,4.3,1
48,F_Toilet;M_Toilet,82,81,1,2,1,2.8000000000000007,1
49,125;122,82,18,1,2,1,12.8,1
50,124;121,18,19,1,2,1,16.099999999999998,1
51,,19,20,1,2,1,7,1
52,,77,16,1,1,1,3.976380263505994,1
53,,7,20,1,1,1,3.96,1
54,,49,50,1,2,1,5.399999999999999,1
55,,51,52,1,2,1,12.3,1
56,,52,53,1,2,1,4.300000000000004,1
57,1201;1202;1205;1206,53,54,1,2,1,7.800000000000001,1
58,1203;1204;1207,54,88,1,2,1,13.799999999999997,1
59,F_Toilet;M_Toilet,88,55,1,2,1,2.3000000000000043,1
60,,55,56,1,2,1,3.299999999999997,1
61,,33,49,1,1,1,3.7076137878694957,1
62,,40,56,1,1,1,3.427302146003471,1
63,,87,88,1,1,1,3.42,4
64,F_Toilet;M_Toilet,50,51,1,2,1,3.4000000000000004,1
65,,88,89,1,2,1,3.42,4
66,,49,57,1,2,1,3.7008647638085885,1
67,,56,64,1,2,1,3.427302146003471,1
68,,20,26,1,2,1,4.933518014561211,1
69,,16,21,1,2,1,4.14,1
70,,21,22,1,3,1,16.799999999999997,1
71,133,22,83,1,3,1,6.1,1
72,F_Toilet,83,84,1,3,1,2.1000000000000014,1
73,,83,23,1,3,1,22.3,1
74,M_Toilet,23,85,1,3,1,2.1000000000000014,1
75,,23,24,1,3,1,3,1
76,132,24,25,1,3,1,6,1
77,,25,26,1,3,1,3,1
78,,25,27,1,3,1,3.799999999999997,1
79,131,27,28,1,3,1,19.099999999999998,1
80,,28,29,1,3,1,5.8821764679411,1
81,,29,86,1,3,1,3.4000000000000004,1
82,,80,86,1,1,1,8.33486652562595,1
83,,57,58,1,3,1,6.200000000000003,1
84,F_Toilet;M_Toilet,58,59,1,3,1,7.2,1
85,,59,60,1,3,1,10.4,1
86,,60,61,1,3,1,3.700000000000003,1
87,1301;1302;1303;1307;1308;1309,61,62,1,3,1,10.7,1
88,1304;1305;1306;1310,62,89,1,3,1,10.399999999999999,1
89,F_Toilet;M_Toilet,89,63,1,3,1,2.3999999999999986,1
90,,63,64,1,3,1,3.0999999999999943,1
91,,89,90,1,3,1,3.42,4
92,,57,65,1,3,1,3.5265280376029904,1
93,,64,73,1,3,1,3.4345887672325484,1
94,,65,66,1,4,1,5.400000000000006,1
95,F_Toilet;M_Toilet,66,67,1,4,1,6,1
96,,67,68,1,4,1,6.799999999999997,1
97,,67,69,1,4,1,10.799999999999999,1
98,,69,70,1,4,1,4,1
99,1401;1402;1403;1404;1408;1409;1410,70,71,1,4,1,10.400000000000002,1
100,1405;1406;1407;1411;1412;1413,71,90,1,4,1,10.799999999999997,1
101,F_Toilet;M_Toilet,90,72,1,4,1,2.1000000000000014,1
102,,72,73,1,4,1,3.1999999999999957,1
