id,x,y,z,building,floor,type
1,0,0,0,1,1,2
2,0,-21.5,0,1,1,1
3,-6.6,-21.5,0,1,1,1
4,-6.6,-18.8,0,1,1,1
5,-9.6,-18.8,0,1,1,1
6,26.4,-21.5,0,1,1,1
7,26.4,-28.5,0,1,1,1
8,30.7,-28.5,0,1,1,1
9,30.7,-9.4,0,1,1,1
10,35.7,-9.4,0,1,1,1
11,-6.6,-13.8,-3.88,1,0,1
12,-6.6,-21.2,-3.88,1,0,1
13,6.1,-21.2,-3.88,1,0,1
14,6.1,-18.4,-3.88,1,0,1
15,23.2,-18.4,-3.88,1,0,1
16,-6.8,-14.1,3.96,1,2,1
17,-6.8,-21.5,3.96,1,2,1
18,10.3,-21.5,3.96,1,2,1
19,26.4,-21.5,3.96,1,2,1
20,26.4,-28.5,3.96,1,2,1
21,-6.8,-14.1,8.1,1,3,1
22,-6.8,-30.9,8.1,1,3,1
23,21.6,-30.9,8.1,1,3,1
24,21.6,-27.9,8.1,1,3,1
25,27.6,-27.9,8.1,1,3,1
26,27.6,-30.9,8.1,1,3,1
27,31.4,-27.9,8.1,1,3,1
28,31.4,-8.8,8.1,1,3,1
29,36.2,-5.4,8.1,1,3,1
30,38.6,-4.1,0,1,1,1
31,50.2,-4.1,0,1,1,1
32,50.2,-7,0,1,1,1
33,56.8,-7,0,1,1,1
34,50.2,7.2,0,1,1,1
35,45.8,7.2,0,1,1,1
36,45.8,17.4,0,1,1,1
37,45.8,26.5,0,1,1,1
38,41.7,26.5,0,1,1,1
39,45.8,33.3,0,1,1,1
40,42.7,33.3,0,1,1,1
41,56.4,-7.5,-3.96,1,0,1
42,50.1,-7.5,-3.96,1,0,1
43,50.1,-4.3,-3.96,1,0,1
44,50.1,9.5,-3.96,1,0,1
45,45.8,9.5,-3.96,1,0,1
46,45.8,23.1,-3.96,1,0,1
47,45.8,33.5,-3.96,1,0,1
48,42.7,33.5,-3.96,1,0,1
49,55.5,-6.4,3.42,1,2,1
50,50.1,-6.4,3.42,1,2,1
51,50.1,-3,3.42,1,2,1
52,50.1,9.3,3.42,1,2,1
53,45.8,9.3,3.42,1,2,1
54,45.8,17.1,3.42,1,2,1
55,45.8,33.2,3.42,1,2,1
56,42.5,33.2,3.42,1,2,1
57,55.7,-7.8,6.84,1,3,1
58,49.5,-7.8,6.84,1,3,1
59,49.5,-0.6,6.84,1,3,1
60,49.5,9.8,6.84,1,3,1
61,45.8,9.8,6.84,1,3,1
62,45.8,20.5,6.84,1,3,1
63,45.8,33.3,6.84,1,3,1
64,42.7,33.3,6.84,1,3,1
65,55.2,-7.1,10.26,1,4,1
66,49.8,-7.1,10.26,1,4,1
67,49.8,-1.1,10.26,1,4,1
68,43,-1.1,10.26,1,4,1
69,49.8,9.7,10.26,1,4,1
70,45.8,9.7,10.26,1,4,1
71,45.8,20.1,10.26,1,4,1
72,45.8,33,10.26,1,4,1
73,42.6,33,10.26,1,4,1
74,-13.6,-18.8,0,1,1,1
75,0,-12,0,1,1,1
76,30.7,-4.1,0,1,1,2
77,-6.6,-13.8,0,1,1,1
78,-13.6,11.1,0,1,1,1
79,22.3,-21.5,0,1,1,1
80,35.7,-6.9,0,1,1,1
81,-2.5,-24.3,3.96,1,2,1
82,-2.5,-21.5,3.96,1,2,1
83,-0.7,-30.9,8.1,1,3,1
84,-0.7,-33,8.1,1,3,1
85,21.6,-33,8.1,1,3,1
86,36.2,-8.8,8.1,1,3,1
87,45.8,30.9,0,1,1,1
88,45.8,30.9,3.42,1,2,1
89,45.8,30.9,6.84,1,3,1
90,45.8,30.9,10.26,1,4,1
91,45.8,30.9,-3.96,1,0,1
