id,name,from,to,building,floor,weight,length,type,left,right
1,,1,2,7,1,1,6.7,1,,
2,,2,3,7,1,1,6.8,1,,
3,711;712;714,3,7,7,1,1,20.8,1,712;711,714
4,713,3,4,7,1,1,8,1,,713
5,,4,5,7,1,1,3.4000000000000004,1,,
6,M_Toilet,4,6,7,1,1,2.5,1,M_Toilet,
7,,5,11,7,1,5,4.25,2,,
8,,5,23,7,0,5,4.59,2,,
9,,6,10,7,1,1,4,1,,
10,,7,8,7,1,1,3.4000000000000004,1,,
11,F_Toilet;C_Toilet,7,9,7,1,1,4.049691346263317,1,,F_Toilet;C_Toilet
12,,8,15,7,1,5,4.25,2,,
13,,8,28,7,0,5,4.59,2,,
14,,11,12,7,2,1,3.4000000000000004,1,,
15,,11,17,7,2,5,4.25,2,,
16,M_Toilet,12,13,7,2,1,2.5,1,M_Toilet,
17,721;722;723;724;725,12,14,7,2,1,28.8,1,723;722;721,725;724
18,,14,15,7,2,1,3.4000000000000004,1,,
19,F_Toilet,14,16,7,2,1,2.1999999999999993,1,,F_Toilet
20,,15,21,7,2,5,4.25,1,,
21,,17,18,7,3,1,3.4000000000000004,1,,
22,M_Toilet,18,19,7,3,1,2.5,1,M_Toilet,
23,70;71;72;73;74;75;76;77;78;79,18,20,7,3,1,28.8,1,75;74;73;72;71;70,79;78;77;76
24,,20,21,7,3,1,3.4000000000000004,1,,
25,F_Toilet,20,22,7,3,1,2.1999999999999993,1,,F_Toilet
26,,23,24,7,0,1,4,1,,M_Toilet
27,M_Toilet,24,25,7,0,1,3.6999999999999993,1,,
28,702;701,24,26,7,0,1,20.8,1,702;701,
29,F_Toilet,26,27,7,0,1,3.6999999999999993,1,F_Toilet,
30,,26,28,7,0,1,4,1,,
