id,name,from,to,floor,weight,length,type
1,,1,2,1,1,20.6,1
2,,2,3,1,1,53.5,1
3,,3,4,1,1,21.788299612406657,2
4,,4,5,1,1,54.93641779366397,1
5,,6,7,1,1,26.500000000000004,1
6,,7,8,1,1,43.704118799033125,1
7,,8,9,1,1,26.566332076521217,1
8,,9,10,1,1,14.948244044034068,2
9,,9,11,1,1,9.61873172512884,1
10,VIEW,11,12,1,1,62.035473722701596,2
11,,12,13,1,1,54.39999999999999,1
12,,13,14,1,1,3.400000000000003,1
13,,14,15,1,1,1.8999999999999937,1
14,,10,16,1,1,11.74776574502573,1
15,,10,17,1,1,11.715374513859976,1
16,,17,18,1,1,4.399999999999998,1
17,,18,19,1,1,28.299999999999997,1
18,,19,20,1,1,31.999999999999996,1
19,,20,21,1,1,4.400000000000005,1
20,,19,22,1,1,30.3,1
21,,22,23,1,1,3.1000000000000014,1
22,,23,24,1,1,23.5,2
23,,12,21,1,3,18.303463344850236,2
24,,6,25,1,1,53.10000000000001,1
25,,25,26,1,1,86.42639473442833,1
26,,26,15,1,1,67.42022570864924,1
27,,11,26,1,1,69.33828381109738,1
28,,4,27,1,1,10.999999999999993,1
29,,27,28,1,1,77,1
30,,28,29,1,1,44.6,1
31,,29,30,1,1,29.499999999999986,1
32,,15,31,1,1,47.93015752112651,1
33,,31,32,1,1,14.334922392534962,1
34,,32,33,1,1,19.999999999999996,1
35,,33,34,1,1,4.220189569201838,1
36,,34,35,1,1,7.300000000000003,1
37,,35,36,1,1,5.599999999999996,1
38,,34,37,1,1,74.62680483579612,1
39,,37,38,1,1,10.304368005850726,1
40,,38,39,1,1,15.55479104968588,1
41,,39,40,1,1,29.99999999999999,1
42,,37,39,1,1,9.999999999999979,1
43,,12,41,1,1,24.49999999999999,1
