building,name,display_name
10,101A,ゼミ101A
10,101B,ゼミ101B
10,101C,ゼミ101C
10,101D,ゼミ101D
10,101E,ゼミ101E
10,101F,ゼミ101F
10,101G,ゼミ101G
10,101H,ゼミ101H
10,105A,ゼミ105A
10,105B,ゼミ105B
10,105C,ゼミ105C
10,105D,ゼミ105D
10,105E,ゼミ105E
10,105F,ゼミ105F
10,105G,ゼミ105G
10,105H,ゼミ105H
10,105I,ゼミ105I
10,105J,ゼミ105J
10,105K,ゼミ105K
10,105L,ゼミ105L
10,105M,ゼミ105M
10,105N,ゼミ105N
10,105O,ゼミ105O
10,105P,ゼミ105P
10,105Q,ゼミ105Q
10,105R,ゼミ105R
10,105S,ゼミ105S
10,105T,ゼミ105T
10,105U,ゼミ105U
10,105V,ゼミ105V
10,105W,ゼミ105W
10,105X,ゼミ105X
10,Sky_Terrace,スカイテラス
10,SUBWAY,サブウェイ
10,Lab_Rep,研究室受付
1,Lab1,ラボ1
1,Lab2,ラボ2
1,Lab3,ラボ3
1,CS1,コミュニケーションサロン1
1,CS2,コミュニケーションサロン2
1,CALL_Self,CALL自習室
1,CALL_D,CALL教室D
1,CALL_B,CALL教室B
1,CALL_C,CALL教室C
1,CALL_A,CALL教室A
5,Natural_Science_Laboratory1,自然科学実験室1
5,Natural_Science_Laboratory2,自然科学実験室2
5,Life_Science_Laboratory1,生命科学実験室1
5,Life_Science_Laboratory2,生命科学実験室2
5,Life_Science_Laboratory3,生命科学実験室3
5,Changing_Room,更衣室
5,PE_Practice _Room,体育実験実習室
5,Social _And_PE_Laboratory,社会体育研究室
5,Physiological_Laboratory,生理実験室
5,Physical_Fitness_Measurement_Room,体力測定室
5,PE_Laboratory,体育実験室
5,51,ゼミ51
5,52,ゼミ52
5,53,ゼミ53
5,54,ゼミ54
5,55,ゼミ55
5,56,ゼミ56
7,70,ゼミ70
7,71,ゼミ71
7,72,ゼミ72
7,73,ゼミ73
7,74,ゼミ74
7,75,ゼミ75
7,76,ゼミ76
7,77,ゼミ77
7,78,ゼミ78
7,79,ゼミ79
0,VIEW,レストランVIEW
